stagger,version,SUM(count)
SB0,262.7,1
R0.2,260.15,2
SB2.1,260.9,7
R2a.2,260.15,106
R2b.2,260.15,38
SB1.1,260.9,10
SB1.2,260.9,3
R0.1,260.15,5
SB1.1,256.17,2
R2a.2,260.9,117
SB0,260.15,1
SB0,262.6,1
R2a.1,260.15,89
R2b.1,260.9,10
SB1.1,260.15,49
R1.1,260.15,46
SB1.2,260.1,1
SB1.1,262.3,4
R1.1,260.9,12
SB1.2,260.15,59
R2a.1,260.9,95
SB2.2,260.9,1
SB2.1,262.3,1
SB0,260.9,1
SB1.1,262.7,2
R2b.1,260.15,18
R1.2,260.9,5
SB2.1,260.15,16
SB2.2,260.15,17
R0.1,262.7,2
R1.2,260.15,42
SB1.2,258.15,1
R0.2,260.9,1
R2b.2,260.9,21
