current_version,week_start,stagger,cumulative_cells,stagger_total_cells,pct_of_stagger
262.18,2026-04-20,R2b,0,119,0.0
262.18,2026-04-20,SB0,1,16,6.3
262.18,2026-04-20,SB1,0,268,0.0
262.18,2026-04-27,R0,0,9,0.0
262.18,2026-04-27,R1,0,113,0.0
262.18,2026-04-27,R2a,0,472,0.0
262.18,2026-04-27,R2b,0,119,0.0
262.18,2026-04-27,SB0,6,16,37.5
262.18,2026-04-27,SB1,2,268,0.7
262.18,2026-05-04,R0,0,9,0.0
262.18,2026-05-04,R1,0,113,0.0
262.18,2026-05-04,R2a,0,472,0.0
262.18,2026-05-04,R2b,0,119,0.0
262.18,2026-05-04,SB0,7,16,43.8
262.18,2026-05-04,SB1,4,268,1.5
262.18,2026-05-11,R0,0,9,0.0
262.18,2026-05-11,R1,0,113,0.0
262.18,2026-05-11,R2a,0,472,0.0
262.18,2026-05-11,R2b,0,119,0.0
262.18,2026-05-11,SB0,7,16,43.8
262.18,2026-05-11,SB1,4,268,1.5
262.18,2026-05-18,R0,0,9,0.0
262.18,2026-05-18,R1,0,113,0.0
262.18,2026-05-18,R2a,0,472,0.0
262.18,2026-05-18,R2b,0,119,0.0
262.18,2026-05-18,SB0,8,16,50.0
262.18,2026-05-18,SB1,4,268,1.5
262.18,2026-05-25,R0,0,9,0.0
262.18,2026-05-25,R1,0,113,0.0
262.18,2026-05-25,R2a,0,472,0.0
262.18,2026-05-25,R2b,0,119,0.0
262.18,2026-05-25,SB0,8,16,50.0
262.18,2026-05-25,SB1,4,268,1.5
262.18,2026-06-01,R0,0,9,0.0
262.18,2026-06-01,R1,0,113,0.0
262.18,2026-06-01,R2a,0,472,0.0
262.18,2026-06-01,R2b,0,119,0.0
262.18,2026-06-01,SB0,8,16,50.0
262.18,2026-06-01,SB1,4,268,1.5
262.3,2026-03-16,R0,8,9,88.9
262.3,2026-03-16,R1,108,113,95.6
262.3,2026-03-16,R2a,409,472,86.7
262.3,2026-03-16,R2b,96,119,80.7
262.3,2026-03-16,SB0,2,16,12.5
262.3,2026-03-16,SB1,79,268,29.5
262.3,2026-03-23,R0,8,9,88.9
262.3,2026-03-23,R1,108,113,95.6
262.3,2026-03-23,R2a,409,472,86.7
262.3,2026-03-23,R2b,96,119,80.7
262.3,2026-03-23,SB0,3,16,18.8
262.3,2026-03-23,SB1,80,268,29.9
262.3,2026-03-30,R0,9,9,100.0
262.3,2026-03-30,R1,108,113,95.6
262.3,2026-03-30,R2a,409,472,86.7
262.3,2026-03-30,R2b,97,119,81.5
262.3,2026-03-30,SB0,3,16,18.8
262.3,2026-03-30,SB1,80,268,29.9
262.3,2026-04-06,R0,9,9,100.0
262.3,2026-04-06,R1,108,113,95.6
262.3,2026-04-06,R2a,409,472,86.7
262.3,2026-04-06,R2b,97,119,81.5
262.3,2026-04-06,SB0,3,16,18.8
262.3,2026-04-06,SB1,80,268,29.9
262.3,2026-04-13,R0,9,9,100.0
262.3,2026-04-13,R1,108,113,95.6
262.3,2026-04-13,R2a,409,472,86.7
262.3,2026-04-13,R2b,97,119,81.5
262.3,2026-04-13,SB0,3,16,18.8
262.3,2026-04-13,SB1,80,268,29.9
262.3,2026-04-20,R0,9,9,100.0
262.3,2026-04-20,R1,108,113,95.6
262.3,2026-04-20,R2a,409,472,86.7
262.3,2026-04-20,R2b,97,119,81.5
262.3,2026-04-20,SB0,3,16,18.8
262.3,2026-04-20,SB1,80,268,29.9
262.3,2026-04-27,R0,9,9,100.0
262.3,2026-04-27,R1,108,113,95.6
262.3,2026-04-27,R2a,409,472,86.7
262.3,2026-04-27,R2b,97,119,81.5
262.3,2026-04-27,SB0,3,16,18.8
262.3,2026-04-27,SB1,80,268,29.9
262.3,2026-05-04,R0,9,9,100.0
262.3,2026-05-04,R1,108,113,95.6
262.3,2026-05-04,R2a,409,472,86.7
262.3,2026-05-04,R2b,97,119,81.5
262.3,2026-05-04,SB0,3,16,18.8
262.3,2026-05-04,SB1,80,268,29.9
262.3,2026-05-11,R0,9,9,100.0
262.3,2026-05-11,R1,108,113,95.6
262.3,2026-05-11,R2a,409,472,86.7
262.3,2026-05-11,R2b,97,119,81.5
262.3,2026-05-11,SB0,3,16,18.8
262.3,2026-05-11,SB1,80,268,29.9
262.3,2026-05-18,R0,9,9,100.0
262.3,2026-05-18,R1,108,113,95.6
262.3,2026-05-18,R2a,409,472,86.7
262.3,2026-05-18,R2b,97,119,81.5
262.3,2026-05-18,SB0,3,16,18.8
262.3,2026-05-18,SB1,80,268,29.9
262.3,2026-05-25,R0,9,9,100.0
262.3,2026-05-25,R1,108,113,95.6
262.3,2026-05-25,R2a,409,472,86.7
262.3,2026-05-25,R2b,97,119,81.5
262.3,2026-05-25,SB0,3,16,18.8
262.3,2026-05-25,SB1,80,268,29.9
262.3,2026-06-01,R0,9,9,100.0
262.3,2026-06-01,R1,108,113,95.6
262.3,2026-06-01,R2a,409,472,86.7
262.3,2026-06-01,R2b,97,119,81.5
262.3,2026-06-01,SB0,3,16,18.8
262.3,2026-06-01,SB1,80,268,29.9
262.7,2026-03-16,R0,0,9,0.0
262.7,2026-03-16,R1,0,113,0.0
262.7,2026-03-16,R2a,0,472,0.0
262.7,2026-03-16,R2b,0,119,0.0
262.7,2026-03-16,SB0,1,16,6.3
262.7,2026-03-16,SB1,128,268,47.8
262.7,2026-03-23,R0,8,9,88.9
262.7,2026-03-23,R1,0,113,0.0
262.7,2026-03-23,R2a,21,472,4.4
262.7,2026-03-23,R2b,3,119,2.5
262.7,2026-03-23,SB0,1,16,6.3
262.7,2026-03-23,SB1,128,268,47.8
262.7,2026-03-30,R0,8,9,88.9
262.7,2026-03-30,R1,91,113,80.5
262.7,2026-03-30,R2a,220,472,46.6
262.7,2026-03-30,R2b,59,119,49.6
262.7,2026-03-30,SB0,1,16,6.3
262.7,2026-03-30,SB1,128,268,47.8
262.7,2026-04-06,R0,8,9,88.9
262.7,2026-04-06,R1,106,113,93.8
262.7,2026-04-06,R2a,419,472,88.8
262.7,2026-04-06,R2b,93,119,78.2
262.7,2026-04-06,SB0,1,16,6.3
262.7,2026-04-06,SB1,148,268,55.2
262.7,2026-04-13,R0,8,9,88.9
262.7,2026-04-13,R1,110,113,97.3
262.7,2026-04-13,R2a,435,472,92.2
262.7,2026-04-13,R2b,93,119,78.2
262.7,2026-04-13,SB0,3,16,18.8
262.7,2026-04-13,SB1,162,268,60.4
262.7,2026-04-20,R0,8,9,88.9
262.7,2026-04-20,R1,110,113,97.3
262.7,2026-04-20,R2a,435,472,92.2
262.7,2026-04-20,R2b,93,119,78.2
262.7,2026-04-20,SB0,4,16,25.0
262.7,2026-04-20,SB1,170,268,63.4
262.7,2026-04-27,R0,8,9,88.9
262.7,2026-04-27,R1,110,113,97.3
262.7,2026-04-27,R2a,435,472,92.2
262.7,2026-04-27,R2b,93,119,78.2
262.7,2026-04-27,SB0,4,16,25.0
262.7,2026-04-27,SB1,184,268,68.7
262.7,2026-05-04,R0,8,9,88.9
262.7,2026-05-04,R1,110,113,97.3
262.7,2026-05-04,R2a,435,472,92.2
262.7,2026-05-04,R2b,93,119,78.2
262.7,2026-05-04,SB0,4,16,25.0
262.7,2026-05-04,SB1,184,268,68.7
262.7,2026-05-11,R0,8,9,88.9
262.7,2026-05-11,R1,110,113,97.3
262.7,2026-05-11,R2a,435,472,92.2
262.7,2026-05-11,R2b,93,119,78.2
262.7,2026-05-11,SB0,4,16,25.0
262.7,2026-05-11,SB1,184,268,68.7
262.7,2026-05-18,R0,8,9,88.9
262.7,2026-05-18,R1,110,113,97.3
262.7,2026-05-18,R2a,435,472,92.2
262.7,2026-05-18,R2b,93,119,78.2
262.7,2026-05-18,SB0,4,16,25.0
262.7,2026-05-18,SB1,184,268,68.7
262.7,2026-05-25,R0,8,9,88.9
262.7,2026-05-25,R1,110,113,97.3
262.7,2026-05-25,R2a,435,472,92.2
262.7,2026-05-25,R2b,93,119,78.2
262.7,2026-05-25,SB0,4,16,25.0
262.7,2026-05-25,SB1,184,268,68.7
262.7,2026-06-01,R0,8,9,88.9
262.7,2026-06-01,R1,110,113,97.3
262.7,2026-06-01,R2a,435,472,92.2
262.7,2026-06-01,R2b,93,119,78.2
262.7,2026-06-01,SB0,4,16,25.0
262.7,2026-06-01,SB1,184,268,68.7
262.9,2026-03-16,R0,0,9,0.0
262.9,2026-03-16,R1,1,113,0.9
262.9,2026-03-16,R2a,0,472,0.0
262.9,2026-03-16,R2b,0,119,0.0
262.9,2026-03-16,SB0,1,16,6.3
262.9,2026-03-16,SB1,60,268,22.4
262.9,2026-03-23,R0,0,9,0.0
262.9,2026-03-23,R1,1,113,0.9
262.9,2026-03-23,R2a,0,472,0.0
262.9,2026-03-23,R2b,0,119,0.0
262.9,2026-03-23,SB0,2,16,12.5
262.9,2026-03-23,SB1,73,268,27.2
262.9,2026-03-30,R0,0,9,0.0
262.9,2026-03-30,R1,1,113,0.9
262.9,2026-03-30,R2a,0,472,0.0
262.9,2026-03-30,R2b,0,119,0.0
262.9,2026-03-30,SB0,2,16,12.5
262.9,2026-03-30,SB1,129,268,48.1
262.9,2026-04-06,R0,9,9,100.0
262.9,2026-04-06,R1,62,113,54.9
262.9,2026-04-06,R2a,168,472,35.6
262.9,2026-04-06,R2b,60,119,50.4
262.9,2026-04-06,SB0,2,16,12.5
262.9,2026-04-06,SB1,129,268,48.1
262.9,2026-04-13,R0,9,9,100.0
262.9,2026-04-13,R1,92,113,81.4
262.9,2026-04-13,R2a,223,472,47.2
262.9,2026-04-13,R2b,60,119,50.4
262.9,2026-04-13,SB0,3,16,18.8
262.9,2026-04-13,SB1,130,268,48.5
262.9,2026-04-20,R0,9,9,100.0
262.9,2026-04-20,R1,96,113,85.0
262.9,2026-04-20,R2a,272,472,57.6
262.9,2026-04-20,R2b,79,119,66.4
262.9,2026-04-20,SB0,3,16,18.8
262.9,2026-04-20,SB1,130,268,48.5
262.9,2026-04-27,R0,9,9,100.0
262.9,2026-04-27,R1,110,113,97.3
262.9,2026-04-27,R2a,418,472,88.6
262.9,2026-04-27,R2b,98,119,82.4
262.9,2026-04-27,SB0,3,16,18.8
262.9,2026-04-27,SB1,130,268,48.5
262.9,2026-05-04,R0,9,9,100.0
262.9,2026-05-04,R1,110,113,97.3
262.9,2026-05-04,R2a,418,472,88.6
262.9,2026-05-04,R2b,98,119,82.4
262.9,2026-05-04,SB0,3,16,18.8
262.9,2026-05-04,SB1,130,268,48.5
262.9,2026-05-11,R0,9,9,100.0
262.9,2026-05-11,R1,110,113,97.3
262.9,2026-05-11,R2a,418,472,88.6
262.9,2026-05-11,R2b,98,119,82.4
262.9,2026-05-11,SB0,3,16,18.8
262.9,2026-05-11,SB1,130,268,48.5
262.9,2026-05-18,R0,9,9,100.0
262.9,2026-05-18,R1,110,113,97.3
262.9,2026-05-18,R2a,418,472,88.6
262.9,2026-05-18,R2b,98,119,82.4
262.9,2026-05-18,SB0,3,16,18.8
262.9,2026-05-18,SB1,130,268,48.5
262.9,2026-05-25,R0,9,9,100.0
262.9,2026-05-25,R1,110,113,97.3
262.9,2026-05-25,R2a,418,472,88.6
262.9,2026-05-25,R2b,98,119,82.4
262.9,2026-05-25,SB0,3,16,18.8
262.9,2026-05-25,SB1,130,268,48.5
262.9,2026-06-01,R0,9,9,100.0
262.9,2026-06-01,R1,110,113,97.3
262.9,2026-06-01,R2a,418,472,88.6
262.9,2026-06-01,R2b,98,119,82.4
262.9,2026-06-01,SB0,3,16,18.8
262.9,2026-06-01,SB1,130,268,48.5
264.1,2026-03-16,R0,0,9,0.0
264.1,2026-03-16,R1,0,113,0.0
264.1,2026-03-16,R2a,0,472,0.0
264.1,2026-03-16,R2b,0,119,0.0
264.1,2026-03-16,SB0,0,16,0.0
264.1,2026-03-16,SB1,0,268,0.0
264.1,2026-03-23,R0,0,9,0.0
264.1,2026-03-23,R1,0,113,0.0
264.1,2026-03-23,R2a,0,472,0.0
264.1,2026-03-23,R2b,0,119,0.0
264.1,2026-03-23,SB0,0,16,0.0
264.1,2026-03-23,SB1,0,268,0.0
264.1,2026-03-30,R0,0,9,0.0
264.1,2026-03-30,R1,0,113,0.0
264.1,2026-03-30,R2a,0,472,0.0
264.1,2026-03-30,R2b,0,119,0.0
264.1,2026-03-30,SB0,0,16,0.0
264.1,2026-03-30,SB1,0,268,0.0
264.1,2026-04-06,R0,0,9,0.0
264.1,2026-04-06,R1,1,113,0.9
264.1,2026-04-06,R2a,0,472,0.0
264.1,2026-04-06,R2b,0,119,0.0
264.1,2026-04-06,SB0,1,16,6.3
264.1,2026-04-06,SB1,0,268,0.0
264.1,2026-04-13,R0,0,9,0.0
264.1,2026-04-13,R1,1,113,0.9
264.1,2026-04-13,R2a,0,472,0.0
264.1,2026-04-13,R2b,0,119,0.0
264.1,2026-04-13,SB0,1,16,6.3
264.1,2026-04-13,SB1,0,268,0.0
264.1,2026-04-20,R0,0,9,0.0
264.1,2026-04-20,R1,1,113,0.9
264.1,2026-04-20,R2a,0,472,0.0
264.1,2026-04-20,R2b,0,119,0.0
264.1,2026-04-20,SB0,1,16,6.3
264.1,2026-04-20,SB1,0,268,0.0
264.1,2026-04-27,R0,0,9,0.0
264.1,2026-04-27,R1,1,113,0.9
264.1,2026-04-27,R2a,0,472,0.0
264.1,2026-04-27,R2b,0,119,0.0
264.1,2026-04-27,SB0,1,16,6.3
264.1,2026-04-27,SB1,0,268,0.0
264.1,2026-05-04,R0,0,9,0.0
264.1,2026-05-04,R1,1,113,0.9
264.1,2026-05-04,R2a,0,472,0.0
264.1,2026-05-04,R2b,0,119,0.0
264.1,2026-05-04,SB0,8,16,50.0
264.1,2026-05-04,SB1,3,268,1.1
264.1,2026-05-11,R0,0,9,0.0
264.1,2026-05-11,R1,1,113,0.9
264.1,2026-05-11,R2a,0,472,0.0
264.1,2026-05-11,R2b,0,119,0.0
264.1,2026-05-11,SB0,8,16,50.0
264.1,2026-05-11,SB1,3,268,1.1
264.1,2026-05-18,R0,0,9,0.0
264.1,2026-05-18,R1,2,113,1.8
264.1,2026-05-18,R2a,0,472,0.0
264.1,2026-05-18,R2b,0,119,0.0
264.1,2026-05-18,SB0,9,16,56.3
264.1,2026-05-18,SB1,25,268,9.3
264.1,2026-05-25,R0,0,9,0.0
264.1,2026-05-25,R1,2,113,1.8
264.1,2026-05-25,R2a,0,472,0.0
264.1,2026-05-25,R2b,0,119,0.0
264.1,2026-05-25,SB0,9,16,56.3
264.1,2026-05-25,SB1,27,268,10.1
264.1,2026-06-01,R0,0,9,0.0
264.1,2026-06-01,R1,2,113,1.8
264.1,2026-06-01,R2a,0,472,0.0
264.1,2026-06-01,R2b,0,119,0.0
264.1,2026-06-01,SB0,9,16,56.3
264.1,2026-06-01,SB1,28,268,10.4
264.2,2026-03-16,R0,0,9,0.0
264.2,2026-03-16,R1,0,113,0.0
264.2,2026-03-16,R2a,0,472,0.0
264.2,2026-03-16,R2b,0,119,0.0
264.2,2026-03-16,SB0,0,16,0.0
264.2,2026-03-16,SB1,0,268,0.0
264.2,2026-03-23,R0,0,9,0.0
264.2,2026-03-23,R1,0,113,0.0
264.2,2026-03-23,R2a,0,472,0.0
264.2,2026-03-23,R2b,0,119,0.0
264.2,2026-03-23,SB0,0,16,0.0
264.2,2026-03-23,SB1,0,268,0.0
264.2,2026-03-30,R0,0,9,0.0
264.2,2026-03-30,R1,0,113,0.0
264.2,2026-03-30,R2a,0,472,0.0
264.2,2026-03-30,R2b,0,119,0.0
264.2,2026-03-30,SB0,0,16,0.0
264.2,2026-03-30,SB1,0,268,0.0
264.2,2026-04-06,R0,0,9,0.0
264.2,2026-04-06,R1,0,113,0.0
264.2,2026-04-06,R2a,0,472,0.0
264.2,2026-04-06,R2b,0,119,0.0
264.2,2026-04-06,SB0,0,16,0.0
264.2,2026-04-06,SB1,0,268,0.0
264.2,2026-04-13,R0,0,9,0.0
264.2,2026-04-13,R1,1,113,0.9
264.2,2026-04-13,R2a,0,472,0.0
264.2,2026-04-13,R2b,0,119,0.0
264.2,2026-04-13,SB0,1,16,6.3
264.2,2026-04-13,SB1,0,268,0.0
264.2,2026-04-20,R0,0,9,0.0
264.2,2026-04-20,R1,1,113,0.9
264.2,2026-04-20,R2a,0,472,0.0
264.2,2026-04-20,R2b,0,119,0.0
264.2,2026-04-20,SB0,1,16,6.3
264.2,2026-04-20,SB1,0,268,0.0
264.2,2026-04-27,R0,0,9,0.0
264.2,2026-04-27,R1,1,113,0.9
264.2,2026-04-27,R2a,0,472,0.0
264.2,2026-04-27,R2b,0,119,0.0
264.2,2026-04-27,SB0,1,16,6.3
264.2,2026-04-27,SB1,0,268,0.0
264.2,2026-05-04,R0,0,9,0.0
264.2,2026-05-04,R1,1,113,0.9
264.2,2026-05-04,R2a,0,472,0.0
264.2,2026-05-04,R2b,0,119,0.0
264.2,2026-05-04,SB0,1,16,6.3
264.2,2026-05-04,SB1,0,268,0.0
264.2,2026-05-11,R0,0,9,0.0
264.2,2026-05-11,R1,1,113,0.9
264.2,2026-05-11,R2a,0,472,0.0
264.2,2026-05-11,R2b,0,119,0.0
264.2,2026-05-11,SB0,8,16,50.0
264.2,2026-05-11,SB1,3,268,1.1
264.2,2026-05-18,R0,0,9,0.0
264.2,2026-05-18,R1,1,113,0.9
264.2,2026-05-18,R2a,0,472,0.0
264.2,2026-05-18,R2b,0,119,0.0
264.2,2026-05-18,SB0,8,16,50.0
264.2,2026-05-18,SB1,3,268,1.1
264.2,2026-05-25,R0,0,9,0.0
264.2,2026-05-25,R1,1,113,0.9
264.2,2026-05-25,R2a,0,472,0.0
264.2,2026-05-25,R2b,0,119,0.0
264.2,2026-05-25,SB0,8,16,50.0
264.2,2026-05-25,SB1,3,268,1.1
264.2,2026-06-01,R0,0,9,0.0
264.2,2026-06-01,R1,1,113,0.9
264.2,2026-06-01,R2a,0,472,0.0
264.2,2026-06-01,R2b,0,119,0.0
264.2,2026-06-01,SB0,8,16,50.0
264.2,2026-06-01,SB1,3,268,1.1
264.3,2026-03-16,R0,0,9,0.0
264.3,2026-03-16,R1,0,113,0.0
264.3,2026-03-16,R2a,0,472,0.0
264.3,2026-03-16,R2b,0,119,0.0
264.3,2026-03-16,SB0,0,16,0.0
264.3,2026-03-16,SB1,0,268,0.0
264.3,2026-03-23,R0,0,9,0.0
264.3,2026-03-23,R1,0,113,0.0
264.3,2026-03-23,R2a,0,472,0.0
264.3,2026-03-23,R2b,0,119,0.0
264.3,2026-03-23,SB0,0,16,0.0
264.3,2026-03-23,SB1,0,268,0.0
264.3,2026-03-30,R0,0,9,0.0
264.3,2026-03-30,R1,0,113,0.0
264.3,2026-03-30,R2a,0,472,0.0
264.3,2026-03-30,R2b,0,119,0.0
264.3,2026-03-30,SB0,0,16,0.0
264.3,2026-03-30,SB1,0,268,0.0
264.3,2026-04-06,R0,0,9,0.0
264.3,2026-04-06,R1,0,113,0.0
264.3,2026-04-06,R2a,0,472,0.0
264.3,2026-04-06,R2b,0,119,0.0
264.3,2026-04-06,SB0,0,16,0.0
264.3,2026-04-06,SB1,0,268,0.0
264.3,2026-04-13,R0,0,9,0.0
264.3,2026-04-13,R1,0,113,0.0
264.3,2026-04-13,R2a,0,472,0.0
264.3,2026-04-13,R2b,0,119,0.0
264.3,2026-04-13,SB0,0,16,0.0
264.3,2026-04-13,SB1,0,268,0.0
264.3,2026-04-20,R0,0,9,0.0
264.3,2026-04-20,R1,0,113,0.0
264.3,2026-04-20,R2a,0,472,0.0
264.3,2026-04-20,R2b,0,119,0.0
264.3,2026-04-20,SB0,1,16,6.3
264.3,2026-04-20,SB1,0,268,0.0
264.3,2026-04-27,R0,0,9,0.0
264.3,2026-04-27,R1,0,113,0.0
264.3,2026-04-27,R2a,0,472,0.0
264.3,2026-04-27,R2b,0,119,0.0
264.3,2026-04-27,SB0,1,16,6.3
264.3,2026-04-27,SB1,1,268,0.4
264.3,2026-05-04,R0,0,9,0.0
264.3,2026-05-04,R1,0,113,0.0
264.3,2026-05-04,R2a,0,472,0.0
264.3,2026-05-04,R2b,0,119,0.0
264.3,2026-05-04,SB0,1,16,6.3
264.3,2026-05-04,SB1,1,268,0.4
264.3,2026-05-11,R0,0,9,0.0
264.3,2026-05-11,R1,0,113,0.0
264.3,2026-05-11,R2a,0,472,0.0
264.3,2026-05-11,R2b,0,119,0.0
264.3,2026-05-11,SB0,3,16,18.8
264.3,2026-05-11,SB1,2,268,0.7
264.3,2026-05-18,R0,0,9,0.0
264.3,2026-05-18,R1,0,113,0.0
264.3,2026-05-18,R2a,0,472,0.0
264.3,2026-05-18,R2b,0,119,0.0
264.3,2026-05-18,SB0,10,16,62.5
264.3,2026-05-18,SB1,5,268,1.9
264.3,2026-05-25,R0,0,9,0.0
264.3,2026-05-25,R1,0,113,0.0
264.3,2026-05-25,R2a,0,472,0.0
264.3,2026-05-25,R2b,0,119,0.0
264.3,2026-05-25,SB0,10,16,62.5
264.3,2026-05-25,SB1,5,268,1.9
264.3,2026-06-01,R0,0,9,0.0
264.3,2026-06-01,R1,0,113,0.0
264.3,2026-06-01,R2a,0,472,0.0
264.3,2026-06-01,R2b,0,119,0.0
264.3,2026-06-01,SB0,10,16,62.5
264.3,2026-06-01,SB1,5,268,1.9
264.4,2026-03-16,R0,0,9,0.0
264.4,2026-03-16,R1,0,113,0.0
264.4,2026-03-16,R2a,0,472,0.0
264.4,2026-03-16,R2b,0,119,0.0
264.4,2026-03-16,SB0,0,16,0.0
264.4,2026-03-16,SB1,0,268,0.0
264.4,2026-03-23,R0,0,9,0.0
264.4,2026-03-23,R1,0,113,0.0
264.4,2026-03-23,R2a,0,472,0.0
264.4,2026-03-23,R2b,0,119,0.0
264.4,2026-03-23,SB0,0,16,0.0
264.4,2026-03-23,SB1,0,268,0.0
264.4,2026-03-30,R0,0,9,0.0
264.4,2026-03-30,R1,0,113,0.0
264.4,2026-03-30,R2a,0,472,0.0
264.4,2026-03-30,R2b,0,119,0.0
264.4,2026-03-30,SB0,0,16,0.0
264.4,2026-03-30,SB1,0,268,0.0
264.4,2026-04-06,R0,0,9,0.0
264.4,2026-04-06,R1,0,113,0.0
264.4,2026-04-06,R2a,0,472,0.0
264.4,2026-04-06,R2b,0,119,0.0
264.4,2026-04-06,SB0,0,16,0.0
264.4,2026-04-06,SB1,0,268,0.0
264.4,2026-04-13,R0,0,9,0.0
264.4,2026-04-13,R1,0,113,0.0
264.4,2026-04-13,R2a,0,472,0.0
264.4,2026-04-13,R2b,0,119,0.0
264.4,2026-04-13,SB0,0,16,0.0
264.4,2026-04-13,SB1,0,268,0.0
264.4,2026-04-20,R0,0,9,0.0
264.4,2026-04-20,R1,0,113,0.0
264.4,2026-04-20,R2a,0,472,0.0
264.4,2026-04-20,R2b,0,119,0.0
264.4,2026-04-20,SB0,0,16,0.0
264.4,2026-04-20,SB1,0,268,0.0
264.4,2026-04-27,R0,0,9,0.0
264.4,2026-04-27,R1,1,113,0.9
264.4,2026-04-27,R2a,0,472,0.0
264.4,2026-04-27,R2b,0,119,0.0
264.4,2026-04-27,SB0,1,16,6.3
264.4,2026-04-27,SB1,1,268,0.4
264.4,2026-05-04,R0,0,9,0.0
264.4,2026-05-04,R1,1,113,0.9
264.4,2026-05-04,R2a,0,472,0.0
264.4,2026-05-04,R2b,0,119,0.0
264.4,2026-05-04,SB0,1,16,6.3
264.4,2026-05-04,SB1,1,268,0.4
264.4,2026-05-11,R0,0,9,0.0
264.4,2026-05-11,R1,1,113,0.9
264.4,2026-05-11,R2a,0,472,0.0
264.4,2026-05-11,R2b,0,119,0.0
264.4,2026-05-11,SB0,1,16,6.3
264.4,2026-05-11,SB1,1,268,0.4
264.4,2026-05-18,R0,0,9,0.0
264.4,2026-05-18,R1,1,113,0.9
264.4,2026-05-18,R2a,0,472,0.0
264.4,2026-05-18,R2b,0,119,0.0
264.4,2026-05-18,SB0,3,16,18.8
264.4,2026-05-18,SB1,2,268,0.7
264.4,2026-05-25,R0,0,9,0.0
264.4,2026-05-25,R1,1,113,0.9
264.4,2026-05-25,R2a,0,472,0.0
264.4,2026-05-25,R2b,0,119,0.0
264.4,2026-05-25,SB0,8,16,50.0
264.4,2026-05-25,SB1,4,268,1.5
264.4,2026-06-01,R0,0,9,0.0
264.4,2026-06-01,R1,1,113,0.9
264.4,2026-06-01,R2a,0,472,0.0
264.4,2026-06-01,R2b,0,119,0.0
264.4,2026-06-01,SB0,8,16,50.0
264.4,2026-06-01,SB1,4,268,1.5
264.5,2026-03-16,R0,0,9,0.0
264.5,2026-03-16,R1,0,113,0.0
264.5,2026-03-16,R2a,0,472,0.0
264.5,2026-03-16,R2b,0,119,0.0
264.5,2026-03-16,SB0,0,16,0.0
264.5,2026-03-16,SB1,0,268,0.0
264.5,2026-03-23,R0,0,9,0.0
264.5,2026-03-23,R1,0,113,0.0
264.5,2026-03-23,R2a,0,472,0.0
264.5,2026-03-23,R2b,0,119,0.0
264.5,2026-03-23,SB0,0,16,0.0
264.5,2026-03-23,SB1,0,268,0.0
264.5,2026-03-30,R0,0,9,0.0
264.5,2026-03-30,R1,0,113,0.0
264.5,2026-03-30,R2a,0,472,0.0
264.5,2026-03-30,R2b,0,119,0.0
264.5,2026-03-30,SB0,0,16,0.0
264.5,2026-03-30,SB1,0,268,0.0
264.5,2026-04-06,R0,0,9,0.0
264.5,2026-04-06,R1,0,113,0.0
264.5,2026-04-06,R2a,0,472,0.0
264.5,2026-04-06,R2b,0,119,0.0
264.5,2026-04-06,SB0,0,16,0.0
264.5,2026-04-06,SB1,0,268,0.0
264.5,2026-04-13,R0,0,9,0.0
264.5,2026-04-13,R1,0,113,0.0
264.5,2026-04-13,R2a,0,472,0.0
264.5,2026-04-13,R2b,0,119,0.0
264.5,2026-04-13,SB0,0,16,0.0
264.5,2026-04-13,SB1,0,268,0.0
264.5,2026-04-20,R0,0,9,0.0
264.5,2026-04-20,R1,0,113,0.0
264.5,2026-04-20,R2a,0,472,0.0
264.5,2026-04-20,R2b,0,119,0.0
264.5,2026-04-20,SB0,0,16,0.0
264.5,2026-04-20,SB1,0,268,0.0
264.5,2026-04-27,R0,0,9,0.0
264.5,2026-04-27,R1,0,113,0.0
264.5,2026-04-27,R2a,0,472,0.0
264.5,2026-04-27,R2b,0,119,0.0
264.5,2026-04-27,SB0,0,16,0.0
264.5,2026-04-27,SB1,0,268,0.0
264.5,2026-05-04,R0,0,9,0.0
264.5,2026-05-04,R1,0,113,0.0
264.5,2026-05-04,R2a,0,472,0.0
264.5,2026-05-04,R2b,0,119,0.0
264.5,2026-05-04,SB0,0,16,0.0
264.5,2026-05-04,SB1,0,268,0.0
264.5,2026-05-11,R0,0,9,0.0
264.5,2026-05-11,R1,0,113,0.0
264.5,2026-05-11,R2a,0,472,0.0
264.5,2026-05-11,R2b,0,119,0.0
264.5,2026-05-11,SB0,0,16,0.0
264.5,2026-05-11,SB1,0,268,0.0
264.5,2026-05-18,R0,0,9,0.0
264.5,2026-05-18,R1,0,113,0.0
264.5,2026-05-18,R2a,0,472,0.0
264.5,2026-05-18,R2b,0,119,0.0
264.5,2026-05-18,SB0,1,16,6.3
264.5,2026-05-18,SB1,1,268,0.4
264.5,2026-05-25,R0,0,9,0.0
264.5,2026-05-25,R1,0,113,0.0
264.5,2026-05-25,R2a,0,472,0.0
264.5,2026-05-25,R2b,0,119,0.0
264.5,2026-05-25,SB0,5,16,31.3
264.5,2026-05-25,SB1,2,268,0.7
264.5,2026-06-01,R0,0,9,0.0
264.5,2026-06-01,R1,0,113,0.0
264.5,2026-06-01,R2a,0,472,0.0
264.5,2026-06-01,R2b,0,119,0.0
264.5,2026-06-01,SB0,5,16,31.3
264.5,2026-06-01,SB1,2,268,0.7
