current_version,week_start,stagger,cumulative_cells,stagger_total_cells,pct_of_stagger
262.11,2026-05-11,R1,109,113,96.5
262.11,2026-05-11,R2a,443,472,93.9
262.11,2026-05-11,R2b,100,119,84.0
262.11,2026-05-11,SB0,12,16,75.0
262.11,2026-05-11,SB1,142,268,53.0
262.11,2026-05-18,R0,9,9,100.0
262.11,2026-05-18,R1,109,113,96.5
262.11,2026-05-18,R2a,450,472,95.3
262.11,2026-05-18,R2b,103,119,86.6
262.11,2026-05-18,SB0,12,16,75.0
262.11,2026-05-18,SB1,142,268,53.0
262.11,2026-05-25,R0,9,9,100.0
262.11,2026-05-25,R1,109,113,96.5
262.11,2026-05-25,R2a,450,472,95.3
262.11,2026-05-25,R2b,103,119,86.6
262.11,2026-05-25,SB0,12,16,75.0
262.11,2026-05-25,SB1,142,268,53.0
262.11,2026-06-01,R0,9,9,100.0
262.11,2026-06-01,R1,109,113,96.5
262.11,2026-06-01,R2a,450,472,95.3
262.11,2026-06-01,R2b,103,119,86.6
262.11,2026-06-01,SB0,12,16,75.0
262.11,2026-06-01,SB1,142,268,53.0
262.12,2026-03-16,R0,0,9,0.0
262.12,2026-03-16,R1,0,113,0.0
262.12,2026-03-16,R2a,0,472,0.0
262.12,2026-03-16,R2b,0,119,0.0
262.12,2026-03-16,SB0,7,16,43.8
262.12,2026-03-16,SB1,4,268,1.5
262.12,2026-03-23,R0,0,9,0.0
262.12,2026-03-23,R1,0,113,0.0
262.12,2026-03-23,R2a,0,472,0.0
262.12,2026-03-23,R2b,0,119,0.0
262.12,2026-03-23,SB0,7,16,43.8
262.12,2026-03-23,SB1,4,268,1.5
262.12,2026-03-30,R0,0,9,0.0
262.12,2026-03-30,R1,0,113,0.0
262.12,2026-03-30,R2a,0,472,0.0
262.12,2026-03-30,R2b,0,119,0.0
262.12,2026-03-30,SB0,7,16,43.8
262.12,2026-03-30,SB1,4,268,1.5
262.12,2026-04-06,R0,0,9,0.0
262.12,2026-04-06,R1,0,113,0.0
262.12,2026-04-06,R2a,0,472,0.0
262.12,2026-04-06,R2b,0,119,0.0
262.12,2026-04-06,SB0,7,16,43.8
262.12,2026-04-06,SB1,4,268,1.5
262.12,2026-04-13,R0,0,9,0.0
262.12,2026-04-13,R1,0,113,0.0
262.12,2026-04-13,R2a,0,472,0.0
262.12,2026-04-13,R2b,0,119,0.0
262.12,2026-04-13,SB0,7,16,43.8
262.12,2026-04-13,SB1,4,268,1.5
262.12,2026-04-20,R0,0,9,0.0
262.12,2026-04-20,R1,0,113,0.0
262.12,2026-04-20,R2a,0,472,0.0
262.12,2026-04-20,R2b,0,119,0.0
262.12,2026-04-20,SB0,7,16,43.8
262.12,2026-04-20,SB1,4,268,1.5
262.12,2026-04-27,R0,0,9,0.0
262.12,2026-04-27,R1,0,113,0.0
262.12,2026-04-27,R2a,0,472,0.0
262.12,2026-04-27,R2b,0,119,0.0
262.12,2026-04-27,SB0,7,16,43.8
262.12,2026-04-27,SB1,4,268,1.5
262.12,2026-05-04,R0,0,9,0.0
262.12,2026-05-04,R1,0,113,0.0
262.12,2026-05-04,R2a,0,472,0.0
262.12,2026-05-04,R2b,0,119,0.0
262.12,2026-05-04,SB0,7,16,43.8
262.12,2026-05-04,SB1,4,268,1.5
262.12,2026-05-11,R0,0,9,0.0
262.12,2026-05-11,R1,0,113,0.0
262.12,2026-05-11,R2a,0,472,0.0
262.12,2026-05-11,R2b,0,119,0.0
262.12,2026-05-11,SB0,7,16,43.8
262.12,2026-05-11,SB1,4,268,1.5
262.12,2026-05-18,R0,0,9,0.0
262.12,2026-05-18,R1,0,113,0.0
262.12,2026-05-18,R2a,0,472,0.0
262.12,2026-05-18,R2b,0,119,0.0
262.12,2026-05-18,SB0,7,16,43.8
262.12,2026-05-18,SB1,4,268,1.5
262.12,2026-05-25,R0,0,9,0.0
262.12,2026-05-25,R1,0,113,0.0
262.12,2026-05-25,R2a,0,472,0.0
262.12,2026-05-25,R2b,0,119,0.0
262.12,2026-05-25,SB0,7,16,43.8
262.12,2026-05-25,SB1,4,268,1.5
262.12,2026-06-01,R0,0,9,0.0
262.12,2026-06-01,R1,0,113,0.0
262.12,2026-06-01,R2a,0,472,0.0
262.12,2026-06-01,R2b,0,119,0.0
262.12,2026-06-01,SB0,7,16,43.8
262.12,2026-06-01,SB1,4,268,1.5
262.13,2026-03-16,R0,0,9,0.0
262.13,2026-03-16,R1,0,113,0.0
262.13,2026-03-16,R2a,0,472,0.0
262.13,2026-03-16,R2b,0,119,0.0
262.13,2026-03-16,SB0,2,16,12.5
262.13,2026-03-16,SB1,1,268,0.4
262.13,2026-03-23,R0,0,9,0.0
262.13,2026-03-23,R1,0,113,0.0
262.13,2026-03-23,R2a,0,472,0.0
262.13,2026-03-23,R2b,0,119,0.0
262.13,2026-03-23,SB0,8,16,50.0
262.13,2026-03-23,SB1,5,268,1.9
262.13,2026-03-30,R0,0,9,0.0
262.13,2026-03-30,R1,0,113,0.0
262.13,2026-03-30,R2a,0,472,0.0
262.13,2026-03-30,R2b,0,119,0.0
262.13,2026-03-30,SB0,8,16,50.0
262.13,2026-03-30,SB1,5,268,1.9
262.13,2026-04-06,R0,0,9,0.0
262.13,2026-04-06,R1,0,113,0.0
262.13,2026-04-06,R2a,0,472,0.0
262.13,2026-04-06,R2b,0,119,0.0
262.13,2026-04-06,SB0,8,16,50.0
262.13,2026-04-06,SB1,5,268,1.9
262.13,2026-04-13,R0,0,9,0.0
262.13,2026-04-13,R1,0,113,0.0
262.13,2026-04-13,R2a,1,472,0.2
262.13,2026-04-13,R2b,0,119,0.0
262.13,2026-04-13,SB0,8,16,50.0
262.13,2026-04-13,SB1,38,268,14.2
262.13,2026-04-20,R0,0,9,0.0
262.13,2026-04-20,R1,0,113,0.0
262.13,2026-04-20,R2a,1,472,0.2
262.13,2026-04-20,R2b,0,119,0.0
262.13,2026-04-20,SB0,8,16,50.0
262.13,2026-04-20,SB1,71,268,26.5
262.13,2026-04-27,R0,0,9,0.0
262.13,2026-04-27,R1,0,113,0.0
262.13,2026-04-27,R2a,4,472,0.8
262.13,2026-04-27,R2b,1,119,0.8
262.13,2026-04-27,SB0,9,16,56.3
262.13,2026-04-27,SB1,72,268,26.9
262.13,2026-05-04,R0,8,9,88.9
262.13,2026-05-04,R1,35,113,31.0
262.13,2026-05-04,R2a,107,472,22.7
262.13,2026-05-04,R2b,38,119,31.9
262.13,2026-05-04,SB0,9,16,56.3
262.13,2026-05-04,SB1,139,268,51.9
262.13,2026-05-11,R0,9,9,100.0
262.13,2026-05-11,R1,91,113,80.5
262.13,2026-05-11,R2a,221,472,46.8
262.13,2026-05-11,R2b,62,119,52.1
262.13,2026-05-11,SB0,9,16,56.3
262.13,2026-05-11,SB1,139,268,51.9
262.13,2026-05-18,R0,9,9,100.0
262.13,2026-05-18,R1,91,113,80.5
262.13,2026-05-18,R2a,243,472,51.5
262.13,2026-05-18,R2b,65,119,54.6
262.13,2026-05-18,SB0,9,16,56.3
262.13,2026-05-18,SB1,139,268,51.9
262.13,2026-05-25,R0,9,9,100.0
262.13,2026-05-25,R1,109,113,96.5
262.13,2026-05-25,R2a,448,472,94.9
262.13,2026-05-25,R2b,99,119,83.2
262.13,2026-05-25,SB0,9,16,56.3
262.13,2026-05-25,SB1,141,268,52.6
262.13,2026-06-01,R0,9,9,100.0
262.13,2026-06-01,R1,109,113,96.5
262.13,2026-06-01,R2a,449,472,95.1
262.13,2026-06-01,R2b,100,119,84.0
262.13,2026-06-01,SB0,9,16,56.3
262.13,2026-06-01,SB1,141,268,52.6
262.14,2026-03-16,R0,0,9,0.0
262.14,2026-03-16,R1,0,113,0.0
262.14,2026-03-16,R2a,0,472,0.0
262.14,2026-03-16,R2b,0,119,0.0
262.14,2026-03-16,SB0,1,16,6.3
262.14,2026-03-16,SB1,0,268,0.0
262.14,2026-03-23,R0,0,9,0.0
262.14,2026-03-23,R1,0,113,0.0
262.14,2026-03-23,R2a,0,472,0.0
262.14,2026-03-23,R2b,0,119,0.0
262.14,2026-03-23,SB0,1,16,6.3
262.14,2026-03-23,SB1,0,268,0.0
262.14,2026-03-30,R0,0,9,0.0
262.14,2026-03-30,R1,0,113,0.0
262.14,2026-03-30,R2a,0,472,0.0
