stagger,version,SUM(count)
R1.1,262.13,11
SB1.2,262.13,1
SB2.2,262.15,15
SB1.1,262.17,36
R2a.1,262.13,93
R2b.1,262.13,10
SB2.2,262.17,2
R0.2,262.15,3
SB2.1,262.15,17
SB1.1,264.3,2
SB2.1,262.17,5
SB1.1,264.4,1
R0.1,262.15,5
R2a.2,262.13,112
SB1.1,262.18,1
R1.2,262.15,42
R2b.2,262.15,38
R2b.1,262.15,15
R2a.2,262.15,110
R2a.2,262.11,1
SB1.2,260.15,1
R1.2,262.13,5
SB1.2,262.17,20
R2b.2,262.13,21
SB0,264.4,2
R2a.1,262.15,91
SB1.2,262.15,40
R1.1,262.15,47
R0.1,264.4,2
SB1.1,262.15,27
