stagger,version,SUM(count)
R2a.2,260.1,5
R0.1,260.1,5
R1.1,258.11,11
SB1.1,260.1,62
SB1.2,258.1,4
SB2.2,260.1,17
R1.2,258.15,42
R2b.1,258.11,8
SB1.1,258.3,1
SB0,258.1,1
SB1.1,260.5,2
SB0,260.1,1
R2a.1,258.15,96
R2a.1,258.7,1
R0.2,260.1,3
SB1.2,256.17,1
R2b.1,260.1,5
R2b.2,258.15,30
SB1.2,260.1,62
R2a.2,258.15,106
R2b.1,258.15,15
R2a.1,258.11,83
R1.2,258.11,5
SB2.1,260.1,24
SB1.1,258.1,2
R2a.2,258.7,2
R2a.2,258.11,110
R2b.2,260.1,10
SB0,260.5,2
R2b.2,258.11,19
R0.1,260.5,2
R2a.1,260.1,4
R1.1,258.15,47
SB1.1,256.17,1
