stagger,version,SUM(count)
R2a.1,262.7,83
R2b.1,262.11,13
R2b.1,262.7,4
SB2.2,262.11,15
R2b.2,262.3,5
R2a.1,262.9,81
SB2.1,262.11,17
SB1.2,262.13,20
SB2.2,262.3,1
R1.1,262.7,11
SB1.1,262.13,37
R2a.2,262.11,15
R2a.2,262.7,98
R2a.2,262.9,110
R0.1,262.11,5
R2a.1,262.11,20
R2b.2,262.9,22
SB1.2,262.3,2
R1.2,262.9,42
R1.2,262.7,5
SB0,262.3,1
SB1.2,260.1,1
SB1.1,262.16,4
R0.1,262.16,2
R2b.2,262.11,18
R0.2,262.11,3
R1.1,262.9,47
SB2.2,262.13,2
SB0,262.16,3
R2b.2,262.7,14
SB1.2,262.11,40
SB1.2,260.15,1
SB1.1,262.11,26
SB2.1,262.13,5
R2b.1,262.9,8
