stagger,version,SUM(count)
R2a,258.7,9
SB1,256.17,2
SB1,260.2,2
SB1,258.1,6
R0,258.11,8
SB0,260.2,2
R2b,258.11,87
SB2,258.15,16
SB0,258.1,1
SB0,258.11,1
R2a,258.11,398
R1,258.7,1
SB2,258.11,25
R0,260.2,2
SB1,258.11,69
SB1,258.3,1
SB1,258.15,55
R1,258.11,104
