stagger,version,SUM(count)
R1.2,262.7,4
R2b.2,262.3,5
SB2.1,262.11,17
SB1.2,260.1,1
R2a.2,262.11,53
R2a.1,262.7,43
R2b.2,262.7,14
R2b.1,262.7,3
SB1.2,262.3,2
SB0,262.3,1
SB2.1,262.13,5
R0.2,262.11,3
R2b.1,262.9,7
R2a.2,262.7,69
R0.1,262.16,2
R2b.2,262.11,33
R2a.1,262.9,85
R2b.1,262.11,15
SB0,262.16,1
R2a.1,262.11,55
SB1.2,260.15,1
R2b.2,262.9,7
SB1.1,262.13,37
R1.2,262.9,30
R1.1,262.9,32
SB2.2,262.11,15
R1.1,262.7,10
SB2.2,262.3,1
SB1.1,262.16,4
SB1.2,262.11,40
R2a.1,262.13,1
SB1.2,262.13,20
R0.1,262.11,5
SB2.2,262.13,2
R1.1,262.11,16
SB1.1,262.11,26
R2a.2,262.9,101
SB0,262.17,2
R1.2,262.11,13
