stagger,version,SUM(count)
R0.1,262.15,2
SB1.2,260.1,1
R2b.2,262.9,33
R2b.2,262.3,5
SB2.1,262.9,16
R2a.2,262.9,110
R0.2,262.9,3
SB1.2,260.15,1
R2b.2,262.7,21
R2b.1,262.7,9
SB0,262.14,1
SB2.1,262.11,6
SB0,262.3,1
R2b.1,262.9,16
SB2.2,262.11,2
SB0,262.15,2
R1.2,262.7,6
SB1.2,262.9,37
SB2.2,262.9,15
SB1.1,262.11,44
SB1.2,262.11,23
R2a.1,262.7,93
R0.1,262.9,5
R2a.2,262.3,1
SB1.1,262.14,2
SB2.2,262.3,1
R2a.2,262.7,112
SB1.1,262.9,19
R1.1,262.9,47
SB1.1,262.15,2
R1.2,262.9,41
SB1.2,262.3,2
R2a.1,262.9,91
R1.1,262.7,11
