stagger,version,SUM(count)
R2b.1,262.11,15
R0.2,262.11,3
SB2.2,262.13,2
SB1.2,262.3,2
R2a.2,262.9,99
R2b.1,262.9,10
R2a.1,262.9,93
SB1.1,262.11,25
SB0,262.3,1
SB1.1,262.18,4
SB1.2,262.13,20
R2a.1,262.15,1
SB1.2,260.15,1
SB1.2,260.1,1
SB2.1,262.13,5
SB2.2,262.11,15
SB2.1,262.11,17
R1.2,262.11,37
R0.1,262.11,5
R0.1,262.18,2
R1.1,262.9,14
R2a.2,262.11,113
R1.2,262.9,10
R1.1,262.11,44
SB0,262.18,3
SB1.2,262.11,40
SB1.1,262.13,38
R2b.2,262.9,21
R2a.1,262.11,90
R2b.2,262.7,5
R2b.2,262.11,33
R2a.2,262.7,11
SB2.2,262.3,1
