stagger,version,SUM(count)
SB1.2,260.1,1
R2b.1,262.7,14
R2a.2,260.15,2
SB1.1,262.14,4
SB1.2,260.15,1
R1.2,262.3,42
SB1.2,262.7,17
R2a.2,262.3,178
R2b.2,262.7,31
R2a.1,260.15,22
R2a.1,262.3,113
R0.1,262.7,5
R1.2,262.7,5
SB0,262.3,1
R2a.1,262.7,49
SB1.2,262.3,2
SB2.1,262.11,1
SB1.1,262.11,5
R1.1,262.7,7
R1.1,260.15,1
SB2.2,262.9,17
R2b.1,262.3,11
SB1.1,262.9,52
SB1.2,262.9,41
SB2.2,262.3,1
R1.1,262.3,50
R0.2,262.7,3
SB0,262.14,3
SB2.1,262.9,21
R2a.2,262.7,43
R2b.2,262.3,28
SB1.1,262.7,6
SB1.2,262.11,2
R0.1,262.14,2
